headline,Positive,Neutral,Negative,Compound
New York Family of 5 Among 10 Americans Killed in Costa Rica Plane Crash,0.0,0.625,0.375,-0.802
The Wall of Love Outside a Jail,0.412,0.588,0.0,0.6369
Overwhelmed by Donations for Survivors of Fatal Bronx Fire,0.092,0.458,0.45,-0.6908
"Start of a New Year of Trading, and Jobs Report From December",0.0,1.0,0.0,0.0
"N.F.L. Wild-Card Picks: Rams Over Falcons, Chiefs Over Titans",0.0,1.0,0.0,0.0
"Kim Jong-un Offers North Korea’s Hand to South, While Chiding U.S.",0.242,0.758,0.0,0.4939
"For Trump, a Glittering Gala Ends a Winter Vacation Rooted in Routine",0.0,1.0,0.0,0.0
Mariah Carey Redeems Herself on New Year’s Eve in Times Square,0.0,1.0,0.0,0.0
Happy New Year! Start It Off by Relaxing and Centering Yourself,0.444,0.556,0.0,0.8016
"At Veterans Hospital in Oregon, a Push for Better Ratings Puts Patients at Risk, Doctors Say",0.153,0.737,0.111,0.2023
How Astrology Took Over the Internet,0.0,1.0,0.0,0.0
Beach Crawling Doesn’t Tire Out Baby Sea Turtles,0.0,1.0,0.0,0.0
China’s Ambitious New ‘Port’: Landlocked Kazakhstan,0.383,0.617,0.0,0.4767
"Pulled Over in a Rental Car, With Heroin in the Trunk",0.0,0.758,0.242,-0.4939
Powerful Hollywood Women Unveil Anti-Harassment Action Plan,0.318,0.682,0.0,0.4215
"For the N.F.L. Playoffs, Much Has Changed. Then There Are the Patriots.",0.0,1.0,0.0,0.0
A Boutique Hotel in New Orleans’s Garden District,0.0,1.0,0.0,0.0
The Hunt for ‘Fire Cats’ Amid Northern California Ashes,0.0,1.0,0.0,0.0
Shopping for Fireplaces and Wood Stoves,0.0,1.0,0.0,0.0
"Submit Questions for A.G. Sulzberger, Our New Publisher",0.0,1.0,0.0,0.0
Finding Purpose for a Good Life. But Also a Healthy One.,0.379,0.621,0.0,0.6705
They Took On the Food Giants — and Won,0.316,0.684,0.0,0.5719
"Chief of Compass, U.K. Catering Giant, Is Killed in Plane Crash",0.0,0.556,0.444,-0.802
Have a Hangover From 2017? Here Are Some Suggestions for TV Shows to Stream,0.0,1.0,0.0,0.0
